0,"(7, 0, 0.939609357591666)","(7, 0, 0.7912665718976798)"
1,"(7, 0, 0.354536360629775)","(7, 0, 1.2342269913847788)"
2,"(7, 0, 0.7375859572538209)","(7, 0, 1.4402870086229402)"
3,"(7, 0, 0.34290562078401965)","(7, 0, 0.9245515884753805)"
4,"(7, 0, 0.3619183552318648)","(7, 0, 0.3636014541490209)"
5,"(7, 0, 1.174379359811949)","(7, 0, 0.7889267516221794)"
6,"(7, 0, 1.1550349794425925)","(7, 0, 1.0770161735641803)"
7,"(7, 0, 1.6048688456516635)","(7, 0, 0.3796620986653034)"
8,"(7, 0, 1.0837944542249212)","(7, 0, 0.7763097908742219)"
9,"(7, 0, 1.5563735566561516)","(7, 0, 1.107330954615064)"
10,"(7, 0, 0.8389384710098328)","(7, 0, 0.3991010677627552)"
11,"(7, 0, 0.9604600908486222)","(7, 0, 1.5406399767712045)"
12,"(7, 0, 0.978647457345321)","(7, 0, 1.085381251759951)"
13,"(7, 0, 1.0192166219966476)","(7, 0, 1.5134745330483135)"
14,"(7, 0, 1.2619395096116621)","(7, 0, 0.7262556144107932)"
15,"(7, 0, 0.9836601994826993)","(7, 0, 1.9188170125682733)"
16,"(7, 0, 1.2400147255123817)","(7, 0, 0.8145077541851325)"
17,"(7, 0, 0.7409527105333819)","(7, 0, 0.9105840850499419)"
18,"(7, 0, 0.9226660107590807)","(7, 0, 1.4716377562144205)"
19,"(7, 0, 1.0369373258493342)","(7, 0, 0.8729676581824303)"
20,"(7, 0, 0.6179412865060402)","(7, 0, 0.5005761807700273)"
21,"(7, 0, 0.5752161572624941)","(7, 0, 1.3511529741443842)"
22,"(7, 0, 0.7987838195054393)","(7, 0, 0.6846016842881357)"
23,"(7, 0, 1.378660339869775)","(7, 0, 0.9109472617774479)"
24,"(7, 0, 0.9588086588116846)","(7, 0, 1.7197395062358802)"
25,"(7, 0, 1.0582883735336273)","(7, 0, 1.263676099632534)"
26,"(7, 0, 0.5651435629049939)","(7, 0, 0.9058847048109122)"
27,"(7, 0, 1.650849865196287)","(7, 0, 0.8495621344807782)"
28,"(7, 0, 0.8854732284106442)","(7, 0, 1.5590672054518762)"
29,"(7, 0, 1.0002787431963935)","(7, 0, 1.2018902468870616)"
30,"(7, 0, 0.8485445022733482)","(7, 0, 0.9841395799213153)"
31,"(7, 0, 0.7694447756350343)","(7, 0, 0.6873847332635475)"
32,"(7, 0, 1.0292613198283564)","(7, 0, 1.0917301509918924)"
33,"(7, 0, 0.8468555245120379)","(7, 0, 0.8591808191083417)"
34,"(7, 0, 0.9181039882779772)","(7, 0, 0.6222397280460633)"
35,"(7, 0, 0.6717873855154414)","(7, 0, 1.5142615837995828)"
36,"(7, 0, 0.9562124499833357)","(7, 0, 1.0152302529761688)"
37,"(7, 0, 1.619368373911227)","(7, 0, 0.6648441293086922)"
38,"(7, 0, 0.06559865154134426)","(7, 0, 1.4958555931225885)"
39,"(7, 0, 1.6805357022809393)","(7, 0, 0.8460626643761807)"
40,"(7, 0, 1.1236302221628953)","(7, 0, 1.3964185106433828)"
41,"(7, 0, 1.6474908783493336)","(7, 0, 0.6991668769857844)"
42,"(7, 0, 0.3184676833284269)","(7, 0, 0.5145943891140761)"
43,"(7, 0, 0.3433820355246926)","(7, 0, 1.468944672779699)"
44,"(7, 0, 1.6907458321092101)","(7, 0, 0.8134186650039725)"
45,"(7, 0, 0.5935541209854807)","(7, 0, 1.9546822729296456)"
46,"(7, 0, 0.4060096310307727)","(7, 0, 0.5511802107563093)"
47,"(7, 0, 0.6626875263291326)","(7, 0, 0.9885899235863082)"
48,"(7, 0, 1.7982381646793155)","(7, 0, 1.2257312057623282)"
49,"(7, 0, 1.721497502496398)","(7, 0, 0.6850363741946954)"
50,"(7, 0, 0.19676620509253806)","(7, 0, 0.6064343993012367)"
51,"(7, 0, 0.9768489834488133)","(7, 0, 1.1483738869405355)"
52,"(7, 0, 0.9610494740976019)","(7, 0, 0.16304497097384008)"
53,"(7, 0, 1.6115833647661573)","(7, 0, 1.2051854656217598)"
54,"(7, 0, 0.4512748794665947)","(7, 0, 0.9436732249537897)"
55,"(7, 0, 1.2509487219778863)","(7, 0, 0.5318139737984848)"
56,"(7, 0, 0.7934570495980896)","(7, 0, 1.0368561109302648)"
57,"(7, 0, 1.8187971541684442)","(7, 0, 0.9262371689916509)"
58,"(7, 0, 0.31006280547478604)","(7, 0, 0.6233390555639605)"
59,"(7, 0, 1.2849734868476537)","(7, 0, 0.8323388584180254)"
60,"(7, 0, 1.3034480190385758)","(7, 0, 1.80456840141713)"
61,"(7, 0, 1.1772309658402693)","(7, 0, 0.4114119820457012)"
62,"(7, 0, 0.3643430678459114)","(7, 0, 0.9489299538376458)"
63,"(7, 0, 0.8537428162983616)","(7, 0, 0.960831305099144)"
64,"(7, 0, 0.3065080548974851)","(7, 0, 0.9993631596067151)"
65,"(7, 0, 1.6923991616511782)","(7, 0, 1.5925729955049195)"
66,"(7, 0, 1.6605747548301553)","(7, 0, 0.788379063470464)"
67,"(7, 0, 0.9902126119887485)","(7, 0, 1.811309074308004)"
68,"(7, 0, 0.9633967078779543)","(7, 0, 1.2542155547084033)"
69,"(7, 0, 0.420783462986542)","(7, 0, 0.664562173410648)"
70,"(7, 0, 0.26569316239820584)","(7, 0, 1.1980149600117938)"
71,"(7, 0, 1.21130705671687)","(7, 0, 1.7406787253215434)"
72,"(7, 0, 0.2737774785193543)","(7, 0, 1.4274814489751013)"
73,"(7, 0, 0.45301930610454333)","(7, 0, 1.189180476433805)"
74,"(7, 0, 1.4978688402309892)","(7, 0, 0.36311211499217666)"
75,"(7, 0, 0.8080802672628751)","(7, 0, 1.4045892346778643)"
76,"(7, 0, 1.3162535832481401)","(7, 0, 1.4139168901633492)"
77,"(7, 0, 0.061036971264580075)","(7, 0, 1.3152827459286853)"
78,"(7, 0, 0.985775233508535)","(7, 0, 0.7183907661572569)"
79,"(7, 0, 0.8591787629829414)","(7, 0, 0.7726017919526562)"
